"""lo que puedas hacer hoy."","
"""los cerdos."","
"""parecer."","
""" sino el que menos ensucia."","
"""menos necesita."","
"""todo lo que reluce."","
"""lo pintan."","
"""sin din."","
"""pequeño."","
"""sin salvado."","
"""cien años dure."","
"""por bien no venga."","
"""no hacer aprecio."","
"""el que no quiere ver."","
"""el que no quiere oír."","
"""verano sin calores."","
"""el tejado."","
"""las apariencias."","
"""haberlo cazado."","
"""sin excepción."","
"""sin espinas."","
"""no se tenga por listo."","
"""te da de comer."","
"""quien puede."","
""" amanece más temprano."","
""" pues toma tres tazas."","
""" lo pierdes."","
"""sacristán."","
"""en una hora."","
"""la boca del asno."","
"""en misa y repicando."","
"""sin romper los huevos."","
"""el hombre."","
""" si no has abierto otra."","
""" que el tuyo viene de camino."","
"""sobre tu tejado."","
"""orégano."","
"""un pozo."","
"""de este agua no beberé."","
"""si la dicha es buena."","
"""un descosido."","
"""a gusto de todos."","
"""buenas."","
""" que no buenas razones."","
""" diente por diente."","
""" corazón que no siente."","
"""bueno me hará."","
""" bocado que pierde."","
"""no duelen."","
""" comida de tontos."","
""" y hambre para mañana."","
"""no se necesitan alforjas."","
""" un botón."","
"""se va lejos."","
"""a la mar."","
""" poco mordedor."","
""" no quita el sueño."","
"""que todos son de su condición."","
"""acertarás."","
"""los ganes."","
"""llega antes."","
"""mal avenidos."","
"""don dinero."","
"""baila el perro."","
"""se conoce el pájaro."","
"""se saca el ovillo."","
""" te quiero Andrés."","
"""muere el pez."","
"""la cigüeña verás."","
"""los conoceréis."","
"""se pierde una herradura."","
"""por otro me sale."","
""" mataperros me llamaron."","
"""se va a Roma."","
"""la devoción."","
"""aguante su vela."","
","
""" buena sombra le cobija."","
""" a hierro muere."","
""" bien desata."","
"""bien recoge."","
""" te hará llorar."","
"""halla."","
"""otorga."","
"""se quema."","
""" a aullar se enseña."","
"""mojado amanece."","
"""pierde pan y pierde perro."","
""" da dos veces"","
"""de viejo duerme en la paja."","
""" no tiene cura."","
"""que tire la primera piedra."","
""" halla."","
"""no está obligado a más."","
"""hizo la trampa."","
""" ni oye misa ni come carne."","
"""mal acaba."","
""" más pierde."","
""" más quiere."","
"""poco aprieta."","
""" poco aprende."","
""" muere cochino."","
"""no cosecha."","
""" no pasa la mar."","
"""no recoge."","
"""que te compre."","
""" que tenga pies."","
""" no se bautiza."","
"""descansa."","
"""manda."","
"""se equivoca."","
"""pierde el sermón."","
""" tiene cien años de perdón."","
"""ajos come."","
"""recoge tempestades."","
"""tiene un tesoro."","
""" todo lo pierde."","
"""de sabios."","
"""o morir."","
""" oveja muerta."","
"""que la enfermedad."","
"""y entrar en Guatepeor."","
",""
 lo que se da no se quita."",
,""no pica."","
"""no el pecador."","
""" pierdes las amistades."","
""" pueden ser amigos perro y gato."","
""" ¡cuántos tiñosos habría!."","
""" Mahoma va a la montaña."","
""" únete a él."","
""" taza y media."","
""" poco vales."","
""" ruega a Dios que sea bajo."","
"""por qué callar."","
"""no hay nada escrito."","
""" tal criado."","
""" tanto vales."","
"""que al final se rompe."","
"""y esconder la mano."","
"""la hermosura."","
"""la muerte."","
""" apaleado."","
""" corazón sin alegría."","
"""otro clavo."","
""" pero ayuda al compañero."","
""" es difícil de encontrar."","
"""dar trigo."","
"""que mil palabras."","
""" y ambas la cara."","
"""mil te arrepentirás."","
""" y otros lo siegan."","
""" otros estrellados."","
""" la casa sin barrer."","
""" otros tan poco."","
""" y otros cardan la lana."","
"""maestro."","
""" y no vemos la viga en el nuestro."","
"""tengo prisa."","
""" a tus zapatos."","
""" nunca bien henchido."","
